Name,Designator,Footprint,LCSC
,,,
100n,"C1, C2, C3, C12, C16, C19, C20, C23",C0402,C1525
10n,C4,C0402,C15195
1u,"C5, C10, C11, C15, C18, C21, C24, C27, C28",C0805,C28323
4u7,"C6, C25",C0805,C1779
10p,"C7, C8",C0402,C32949
22n,C9,C0402,C1532
10u,"C13, C14, C17, C22",C0805,C15850
2u2,C26,C0805,C377773
1N5819WS,"D1, D2, D6",SOD323,C191023
12V,"D4, D5",SOT23_protek,C32677
100R,L1,L0805,C1015
AO3400A,"Q1, Q2, Q3",SOT23_alphaomega,C20917
5k1,"R1, R2, R18, R19",R0402,C25905
1k,"R3, R4, R5, R6, R7, R14, R15, R16, R17, R23, R24",R0402,C11702
1M,"R8, R21, R28, R29, R30",R0402,C26083
10k,"R9, R11",R0402,C25744
0R,R10,R0402,C17168
100R,"R12, R20",R0402,C25076
33R,R22,R0402,C25105
10R,R25,R0402,C25077
AMS1117-3.3,U5,SOT223,C6186
16MHz,Y1,SMD3225-4P,C13738
